iter	Passed	Remaining
903	29643	3148
904	29673	3114
905	29705	3082
906	29736	3049
907	29766	3015
908	29798	2983
909	29830	2950
910	29864	2917
911	29897	2884
912	29932	2852
913	29965	2819
914	29997	2786
915	30029	2753
916	30058	2720
917	30092	2688
918	30125	2655
919	30159	2622
920	30190	2589
921	30224	2556
922	30255	2524
923	30291	2491
924	30322	2458
925	30354	2425
926	30387	2392
927	30423	2360
928	30455	2327
929	30488	2294
930	30523	2262
931	30553	2229
932	30587	2196
933	30620	2163
934	30651	2130
935	30684	2098
936	30715	2065
937	30747	2032
938	30779	1999
939	30812	1966
940	30846	1934
941	30883	1901
942	30918	1868
943	30953	1836
944	30987	1803
945	31022	1770
946	31053	1737
947	31085	1705
948	31120	1672
949	31154	1639
950	31193	1607
951	31235	1574
952	31270	1542
953	31302	1509
954	31336	1476
955	31369	1443
956	31402	1410
957	31442	1378
958	31480	1345
959	31518	1313
960	31554	1280
961	31590	1247
962	31628	1215
963	31664	1182
964	31700	1149
965	31736	1117
966	31772	1084
967	31808	1051
968	31843	1018
969	31876	985
970	31908	952
971	31940	920
972	31972	887
973	32012	854
974	32047	821
975	32084	788
976	32121	756
977	32157	723
978	32193	690
979	32230	657
980	32267	624
981	32305	592
982	32343	559
983	32379	526
984	32423	493
985	32461	460
986	32498	428
987	32536	395
988	32576	362
989	32614	329
990	32654	296
991	32693	263
992	32732	230
993	32769	197
994	32806	164
995	32850	131
996	32888	98
997	32926	65
998	32963	32
999	32999	0
